start,stop,is_segregating,is_multiallelic
7355,464471,6750,270
464472,931470,6961,256
931471,1309503,5259,152
1309504,1495417,2515,102
1495418,1653637,4552,99
1653638,1767070,2385,71
1767071,1894691,4982,116
1894693,2040168,6166,126
2040169,2174766,6665,164
2174767,2345516,6187,122
2345517,2505871,6300,157
2505872,2646633,5084,144
2646634,2800171,4771,109
2800172,2948566,6724,185
2948567,3067101,4477,122
3067102,3184037,5059,121
3184038,3302833,5223,155
3302834,3439226,7928,216
3439227,3565863,7367,169
3565864,3712509,7789,178
3712510,3924696,9477,257
3924697,4374886,13530,348
4374887,4558795,2096,119
4558796,4690861,1896,87
4690862,4834205,2945,111
4834206,4952302,5023,157
4952303,5096181,4705,107
5096182,5208682,6590,192
5208683,5344427,6353,146
5344428,5486113,8266,211
5486114,5653826,8726,235
5653828,5796502,9054,262
5796503,5939281,7437,233
5939282,6064022,8046,279
6064023,6182939,6286,203
6182940,6318049,6954,200
6318050,6485821,7126,196
6485823,6757085,18935,584
6757086,7036751,16654,608
7036752,7245396,7413,222
7245397,7414207,4711,156
7414208,7589844,4255,164
7589845,7733057,7384,267
7733058,7894329,5447,160
7894332,8029367,6530,203
8029368,8171242,7502,270
8171243,8327086,9220,327
8327087,8487323,10287,397
8487324,8698057,15307,621
8698058,8875502,11367,327
8875503,9062590,10207,333
9062591,9216483,6748,267
9216484,9408620,12288,449
9408621,9582555,8382,375
9582556,9732165,10905,436
9732166,9857410,6914,240
9857411,10012682,3730,165
10012684,10195359,11562,514
10195360,10382786,14307,657
10382787,10553929,15695,658
10553931,10683291,10180,459
10683292,10888954,17237,975
10888955,11024671,10360,610
11024672,11146549,13231,829
11146550,11286354,7658,407
11286356,11416200,15717,898
11416201,11564368,11692,678
11564369,11703059,9367,501
11703060,11823411,12883,600
11823412,11965232,15799,819
11965233,12107807,13905,714
12107808,12253887,16784,957
12253888,12389588,10636,582
12389589,12527650,13463,638
12527651,12653194,14484,816
12653195,12795741,15305,903
12795742,12947773,15889,977
12947774,13206175,29248,1772
13206176,13335188,16335,993
13335189,13454927,13188,722
13454928,13583776,13952,870
13583777,13727718,14979,934
13727719,13882625,9675,527
13882626,14015660,9442,561
14015661,14161201,20715,1486
14161202,14293898,20980,1558
14293899,14419655,15270,923
14419656,14561502,10186,493
14561503,14679758,11385,639
14679759,14885893,27784,2046
14885894,15031456,23581,1777
15031457,15266191,31594,2115
15266192,15490004,27369,1738
15490005,15602151,7222,461
15602152,15735024,9955,559
15735025,15860207,14764,901
15860208,15978918,8556,629
15978919,16094478,8737,556
16094479,16212724,4205,264
16212725,16329787,6413,236
16329788,16448417,12703,642
16448418,16569360,13006,709
16569361,16699824,18603,1225
16699825,16831054,19878,1346
16831055,16968839,18029,1021
16968840,17158642,26214,1645
17158644,17275121,15885,1065
17275122,17406765,18045,1144
17406766,17527331,14256,846
17527332,17648227,15913,970
17648228,17764906,12549,732
17764907,17897105,12553,695
17897106,18024017,8811,528
18024018,18162953,15662,833
18162954,18289003,13647,786
18289005,18423592,18037,1078
18423593,18543836,18738,1310
18543837,18666021,17840,1309
18666022,18796624,19177,1356
18796625,18920764,15111,909
18920765,19058698,16979,1024
19058699,19194595,18126,1315
19194596,19328983,16795,1015
19328984,19560823,30499,1848
19560824,19689640,19103,1491
19689641,19818122,19944,1366
19818123,19947811,14491,945
19947812,20099401,18919,1323
20099403,20239592,20390,1415
20239593,20365523,5379,380
20365525,20489085,11095,686
20489086,20623763,15751,968
20623766,20764584,16760,1022
20764585,20901089,13590,778
20901090,21065997,19443,1218
21065998,21195993,13130,616
21195994,21337331,18843,1134
21337332,21468201,15229,869
21468202,21618422,16730,1002
21618423,21742452,13730,858
21742453,21879636,14179,931
21879637,22002620,11338,656
22002621,22129217,15433,1007
22129218,22273560,20199,1488
22273561,22513294,33286,2423
22513295,22688399,27095,1886
22688400,22807323,16309,1233
22807324,22957547,23647,1622
22957548,23126612,23104,1745
23126613,23264802,17299,1275
23264803,23395637,3505,231
23395638,23556450,9265,486
23556451,23767434,26407,1660
23767435,23895989,9333,550
23895990,24017878,10016,539
24017881,24136728,13789,798
24136729,24270502,14611,761
24270503,24415083,16574,1017
24415085,24587679,10987,600
24587680,24717107,8042,455
24717108,24869763,16695,904
24869764,24991457,13168,702
24991458,25122132,17566,1095
25122133,25247527,16645,1212
25247528,25380119,13746,809
25380120,25526002,12459,727
25526004,25675094,17863,1120
25675095,25805847,14066,952
25805848,25976743,22823,1545
25976744,26114423,19756,1367
26114424,26238007,19221,1485
26238008,26358882,14419,997
