,chrom,start,stop,gamb_colu,arab,gamb,colu
0,2R,1,100000,0.42336152886154776,0.0688818605596413,0.18101024871733457,0.31313424180922006
1,2R,100001,200000,0.4349021647963138,0.06905549182355984,0.19140239306076082,0.3228720975910138
2,2R,200001,300000,0.4115894315719287,0.0665677383896675,0.1786964494082347,0.3157922153692282
3,2R,300001,400000,0.4894161873044707,0.08668702488467286,0.2366913916641437,0.3812821677263094
4,2R,400001,500000,0.5145480977927024,0.09377196532407506,0.2506142757688685,0.4133973545190221
5,2R,500001,600000,0.5372769621095537,0.08174572731534757,0.26957950338976,0.4355841617102691
6,2R,600001,700000,0.5746151982912382,0.08479008493292167,0.300167352960606,0.4725849426375707
7,2R,700001,800000,0.6821877670614088,0.125924816908086,0.3809791234281529,0.5943962886094494
8,2R,800001,900000,0.708110148032723,0.1414469526529993,0.3957562329567589,0.6203252824308532
9,2R,900001,1000000,0.7419641534587469,0.16147071006562166,0.41970501724612225,0.6588653532809954
10,2R,1000001,1100000,0.7523683726167405,0.16527412536200525,0.42332968829509654,0.672217229843119
11,2R,1100001,1200000,0.735228451580894,0.1527853283481078,0.4032407198592756,0.6537481394614587
12,2R,1200001,1300000,0.6604557082515319,0.12907571110710206,0.34971741329049916,0.5689452079243262
13,2R,1300001,1400000,0.7430237401082882,0.1771609195402299,0.39515066920314734,0.6618300933169737
14,2R,1400001,1500000,0.6982585818090704,0.15908352994653563,0.3433454439154765,0.616303349202372
15,2R,1500001,1600000,0.676866677448919,0.13996651624848935,0.35178176721117044,0.5933796970187072
16,2R,1600001,1700000,0.6648504721283992,0.1284838076545633,0.3551810852789625,0.5777594240773156
17,2R,1700001,1800000,0.6808766136295407,0.1381731325998842,0.3706787058633351,0.5949356857492553
18,2R,1800001,1900000,0.7240407997095166,0.1628097964877544,0.39480430883663614,0.6413300617277159
19,2R,1900001,2000000,0.7526951272100043,0.18413283657131072,0.4283920553991325,0.6706491134616848
20,2R,2000001,2100000,0.6736126464735794,0.13848674612259557,0.36402829980101703,0.5810855626796374
21,2R,2100001,2200000,0.6539736857631718,0.13345461944487666,0.34825653430880876,0.5652486872381851
22,2R,2200001,2300000,0.7034583046325756,0.14511195399486113,0.38249089775970085,0.6173560315325658
23,2R,2300001,2400000,0.7339420354404607,0.1562262429679185,0.4026978016734006,0.6481192801620378
24,2R,2400001,2500000,0.6857737904517783,0.13907636884481,0.3762362490654705,0.6021147068247357
25,2R,2500001,2600000,0.7084041014027804,0.14497463024937926,0.38821790274894635,0.6223606131135854
26,2R,2600001,2700000,0.6863191926448963,0.14183111901717715,0.3724699992141983,0.5966592202602126
27,2R,2700001,2800000,0.7164658361131913,0.15569084048980347,0.3868314157986702,0.6329339414981733
28,2R,2800001,2900000,0.6905672061257785,0.14906076416083283,0.3875531420813833,0.6046110059185691
29,2R,2900001,3000000,0.7155511044344294,0.15692932483501607,0.40445112112613363,0.6301340900239247
30,2R,3000001,3100000,0.7258681884612708,0.1686610027521838,0.4071496508687684,0.6456607975502818
31,2R,3100001,3200000,0.7051219458067952,0.16269963583227737,0.38201549011340186,0.6229999334235814
32,2R,3200001,3300000,0.6887285723740817,0.16153932458207113,0.3788470448077305,0.6030621925121892
